ID,CitiesVisited
628-29,NYC Only
736-09,NYC Only
153-23,NYC Only
1061-21,NYC Only
626-10,NYC Only
356-28,NYC Only
468-16,NYC Only
532-29,NYC Only
66-13,NYC Only
990-08,NYC Only
900-27,NYC Only
217-02,NYC Only
836-17,NYC Only
724-14,NYC Only
404-12,NYC Only
783-31,NYC Only
756-10,NYC Only
635-05,NYC Only
704-21,NYC Only
56-03,NYC Only
388-06,NYC Only
93-17,NYC Only
211-23,NYC Only
38-18,NYC Only
659-29,NYC Only
895-03,NYC Only
836-31,NYC Only
132-03,NYC Only
492-08,NYC Only
303-28,NYC Only
244-27,NYC Only
348-09,NYC Only
1071-19,NYC Only
175-09,NYC Only
250-28,NYC Only
74-23,NYC Only
33-21,NYC Only
112-26,NYC Only
45-27,NYC Only
656-10,NYC Only
588-08,NYC Only
299-10,NYC Only
1042-29,NYC Only
78-13,NYC Only
596-04,NYC Only
104-26,NYC Only
124-10,NYC Only
137-29,NYC Only
286-01,NYC Only
949-06,NYC Only
380-29,NYC Only
928-06,NYC Only
852-13,NYC Only
853-14,NYC Only
407-12,NYC Only
163-08,NYC Only
217-19,NYC Only
1069-17,NYC Only
688-11,NYC Only
14-23,NYC Only
49-15,NYC Only
185-31,NYC Only
970-23,NYC Only
217-07,NYC Only
616-21,NYC Only
981-08,NYC Only
891-15,NYC Only
943-06,NYC Only
323-18,NYC Only
43-23,NYC Only
96-28,NYC Only
757-10,NYC Only
166-06,NYC Only
1061-29,NYC Only
559-06,NYC Only
401-23,NYC Only
1026-11,NYC Only
233-17,NYC Only
356-16,NYC Only
1000-16,NYC Only
251-07,NYC Only
704-09,NYC Only
121-12,NYC Only
649-07,NYC Only
613-16,NYC Only
439-31,NYC Only
832-10,NYC Only
752-08,NYC Only
289-23,NYC Only
342-26,NYC Only
856-10,NYC Only
228-29,NYC Only
819-25,NYC Only
302-05,NYC Only
293-14,NYC Only
365-04,NYC Only
659-14,NYC Only
804-09,NYC Only
940-04,NYC Only
338-03,NYC Only
247-13,NYC Only
394-21,NYC Only
82-16,NYC Only
581-11,NYC Only
251-29,NYC Only
823-05,NYC Only
376-10,NYC Only
760-14,NYC Only
990-21,NYC Only
682-04,NYC Only
509-12,NYC Only
421-12,NYC Only
308-10,NYC Only
745-17,NYC Only
125-09,NYC Only
496-17,NYC Only
400-21,NYC Only
606-12,NYC Only
16-21,NYC Only
114-10,NYC Only
317-09,NYC Only
301-24,NYC Only
238-16,NYC Only
742-17,NYC Only
442-19,NYC Only
662-15,NYC Only
748-14,NYC Only
654-06,NYC Only
91-21,NYC Only
429-12,NYC Only
1047-07,NYC Only
67-13,NYC Only
590-22,NYC Only
989-14,NYC Only
659-23,NYC Only
188-17,NYC Only
877-04,NYC Only
703-15,NYC Only
383-06,NYC Only
4-31,NYC Only
119-15,NYC Only
225-29,NYC Only
493-23,NYC Only
84-31,NYC Only
158-23,NYC Only
658-01,NYC Only
1061-08,NYC Only
470-01,NYC Only
259-18,NYC Only
738-19,NYC Only
649-14,NYC Only
398-29,NYC Only
84-24,NYC Only
198-21,NYC Only
375-04,NYC Only
646-04,NYC Only
974-10,NYC Only
272-17,NYC Only
73-02,NYC Only
52-17,NYC Only
714-23,NYC Only
385-09,NYC Only
413-05,NYC Only
405-19,NYC Only
148-06,NYC Only
591-13,NYC Only
57-21,NYC Only
773-15,NYC Only
750-30,NYC Only
121-29,NYC Only
811-31,NYC Only
933-09,NYC Only
58-10,NYC Only
674-28,NYC Only
145-04,NYC Only
683-07,NYC Only
24-19,NYC Only
300-31,NYC Only
1082-18,NYC Only
1005-10,NYC Only
231-02,NYC Only
683-29,NYC Only
99-23,NYC Only
189-28,NYC Only
1053-13,NYC Only
261-24,NYC Only
902-30,NYC Only
397-08,NYC Only
637-29,NYC Only
39-03,NYC Only
364-26,NYC Only
781-06,NYC Only
834-24,NYC Only
705-22,NYC Only
744-31,NYC Only
206-15,NYC Only
402-21,NYC Only
95-10,NYC Only
1044-06,NYC Only
115-10,NYC Only
760-11,NYC Only
831-04,NYC Only
89-08,NYC Only
62-10,NYC Only
1025-09,NYC Only
716-22,NYC Only
599-29,NYC Only
870-11,NYC Only
535-25,NYC Only
722-23,NYC Only
390-18,NYC Only
345-10,NYC Only
891-03,NYC Only
281-04,NYC Only
1-28,NYC Only
37-10,NYC Only
89-18,NYC Only
792-25,NYC Only
99-10,NYC Only
440-09,NYC Only
577-14,NYC Only
891-22,NYC Only
138-12,NYC Only
722-13,NYC Only
767-31,NYC Only
49-04,NYC Only
256-21,NYC Only
450-07,NYC Only
723-27,NYC Only
186-31,NYC Only
901-01,NYC Only
702-30,NYC Only
837-05,NYC Only
813-15,NYC Only
394-01,NYC Only
208-23,NYC Only
881-01,NYC Only
331-05,NYC Only
101-12,NYC Only
332-27,NYC Only
539-28,NYC Only
619-06,NYC Only
54-29,NYC Only
243-05,NYC Only
30-16,NYC Only
288-10,NYC Only
416-28,NYC Only
977-17,NYC Only
506-04,NYC Only
836-07,NYC Only
202-05,NYC Only
638-22,NYC Only
633-18,NYC Only
198-04,NYC Only
77-29,NYC Only
359-29,NYC Only
89-03,NYC Only
831-05,NYC Only
35-15,NYC Only
399-25,NYC Only
1070-23,NYC Only
604-03,NYC Only
584-18,NYC Only
474-09,NYC Only
167-02,NYC Only
388-29,NYC Only
527-08,NYC Only
737-01,NYC Only
254-15,NYC Only
121-04,NYC Only
870-17,NYC Only
442-06,NYC Only
1016-03,NYC Only
622-22,NYC Only
852-14,NYC Only
191-04,NYC Only
385-12,NYC Only
813-31,NYC Only
806-12,NYC Only
820-18,NYC Only
297-17,NYC Only
1051-09,NYC Only
108-31,NYC Only
72-29,NYC Only
749-08,NYC Only
871-12,NYC Only
871-24,NYC Only
413-29,NYC Only
377-31,NYC Only
1066-27,NYC Only
313-09,NYC Only
782-25,NYC Only
108-17,NYC Only
662-08,NYC Only
439-18,NYC Only
83-17,NYC Only
293-05,NYC Only
499-05,NYC Only
571-03,NYC Only
106-23,NYC Only
800-21,NYC Only
591-25,NYC Only
840-19,NYC Only
132-09,NYC Only
941-13,NYC Only
746-25,NYC Only
191-22,NYC Only
363-23,NYC Only
677-31,NYC Only
396-01,NYC Only
427-03,NYC Only
742-12,NYC Only
361-10,NYC Only
983-21,NYC Only
158-12,NYC Only
1027-17,NYC Only
561-02,NYC Only
839-31,NYC Only
272-16,NYC Only
639-10,NYC Only
19-27,NYC Only
1017-03,NYC Only
473-05,NYC Only
12-06,NYC Only
509-06,NYC Only
480-11,NYC Only
906-18,NYC Only
704-13,NYC Only
401-06,NYC Only
347-12,NYC Only
1019-17,NYC Only
890-19,NYC Only
1009-07,NYC Only
364-10,NYC Only
269-22,NYC Only
940-31,NYC Only
405-22,NYC Only
922-26,NYC Only
1034-05,NYC Only
416-18,NYC Only
925-30,NYC Only
584-19,NYC Only
614-03,NYC Only
241-24,NYC Only
342-25,NYC Only
67-17,NYC Only
924-28,NYC Only
126-01,NYC Only
890-31,NYC Only
329-25,NYC Only
1036-21,NYC Only
191-12,NYC Only
142-01,NYC Only
638-17,NYC Only
581-25,NYC Only
121-31,NYC Only
32-10,NYC Only
969-21,NYC Only
303-08,NYC Only
335-10,NYC Only
895-01,NYC Only
420-04,NYC Only
705-25,NYC Only
1001-13,NYC Only
581-31,NYC Only
939-14,NYC Only
114-05,NYC Only
260-19,NYC Only
200-02,NYC Only
126-04,NYC Only
83-11,NYC Only
783-16,NYC Only
752-29,NYC Only
524-21,NYC Only
1059-25,NYC Only
787-21,NYC Only
42-17,NYC Only
656-17,NYC Only
750-23,NYC Only
654-21,NYC Only
1019-23,NYC Only
1078-12,NYC Only
31-19,NYC Only
98-19,NYC Only
948-31,NYC Only
585-13,NYC Only
966-04,NYC Only
518-05,NYC Only
357-10,NYC Only
349-18,NYC Only
215-06,NYC Only
920-30,NYC Only
256-06,NYC Only
245-21,NYC Only
594-01,NYC Only
368-10,NYC Only
172-03,NYC Only
929-04,NYC Only
440-21,NYC Only
779-24,NYC Only
1063-31,NYC Only
400-11,NYC Only
571-01,NYC Only
716-29,NYC Only
185-08,NYC Only
1032-03,NYC Only
719-31,NYC Only
384-02,NYC Only
727-26,NYC Only
332-28,NYC Only
612-01,NYC Only
863-22,NYC Only
651-06,NYC Only
1029-30,NYC Only
280-14,NYC Only
195-07,NYC Only
891-21,NYC Only
883-25,NYC Only
501-19,NYC Only
534-22,NYC Only
1066-15,NYC Only
686-06,NYC Only
70-01,NYC Only
566-12,NYC Only
703-06,NYC Only
798-09,NYC Only
631-23,NYC Only
315-23,NYC Only
466-04,NYC Only
586-28,NYC Only
481-14,NYC Only
540-02,NYC Only
264-11,NYC Only
53-04,NYC Only
434-11,NYC Only
909-17,NYC Only
179-22,NYC Only
1032-28,NYC Only
276-15,NYC Only
371-16,NYC Only
548-22,NYC Only
385-13,NYC Only
702-25,NYC Only
826-17,NYC Only
496-27,NYC Only
390-30,NYC Only
126-02,NYC Only
565-03,NYC Only
373-02,NYC Only
40-05,NYC Only
425-03,NYC Only
943-08,NYC Only
958-18,NYC Only
707-25,NYC Only
817-12,NYC Only
819-11,NYC Only
258-01,NYC Only
562-23,NYC Only
83-08,NYC Only
351-23,NYC Only
311-08,NYC Only
213-29,NYC Only
440-03,NYC Only
138-14,NYC Only
993-12,NYC Only
905-04,NYC Only
259-30,NYC Only
332-02,NYC Only
596-09,NYC Only
440-06,NYC Only
447-21,NYC Only
397-06,NYC Only
722-12,NYC Only
660-07,NYC Only
793-01,NYC Only
1079-29,NYC Only
474-23,NYC Only
372-04,NYC Only
540-23,NYC Only
825-19,NYC Only
359-31,NYC Only
60-19,NYC Only
923-17,NYC Only
554-25,NYC Only
1047-16,NYC Only
474-28,NYC Only
1054-29,NYC Only
40-11,NYC Only
435-09,NYC Only
178-21,NYC Only
271-01,NYC Only
1011-14,NYC Only
204-16,NYC Only
1001-04,NYC Only
989-16,NYC Only
554-19,NYC Only
184-14,NYC Only
348-15,NYC Only
508-03,NYC Only
201-03,NYC Only
681-05,NYC Only
188-29,NYC Only
606-15,NYC Only
793-12,NYC Only
343-31,NYC Only
162-06,NYC Only
331-14,NYC Only
936-14,NYC Only
647-01,NYC Only
144-04,NYC Only
891-30,NYC Only
433-17,NYC Only
118-13,NYC Only
217-30,NYC Only
903-16,NYC Only
54-14,NYC Only
702-18,NYC Only
582-01,NYC Only
90-16,NYC Only
401-07,NYC Only
377-08,NYC Only
54-31,NYC Only
31-16,NYC Only
296-08,NYC Only
646-15,NYC Only
983-04,NYC Only
315-01,NYC Only
685-28,NYC Only
356-19,NYC Only
970-03,NYC Only
428-24,NYC Only
371-03,NYC Only
918-21,NYC Only
702-28,NYC Only
371-29,NYC Only
902-13,NYC Only
245-22,NYC Only
953-07,NYC Only
217-17,NYC Only
310-11,NYC Only
182-17,NYC Only
260-17,NYC Only
915-27,NYC Only
506-06,NYC Only
489-10,NYC Only
73-10,NYC Only
241-23,NYC Only
1011-05,NYC Only
246-31,NYC Only
646-14,NYC Only
481-26,NYC Only
688-03,NYC Only
846-24,NYC Only
174-23,NYC Only
995-09,NYC Only
811-13,NYC Only
819-26,NYC Only
461-25,NYC Only
384-30,NYC Only
24-17,NYC Only
877-14,NYC Only
213-08,NYC Only
944-13,NYC Only
415-14,NYC Only
124-03,NYC Only
134-05,NYC Only
579-05,NYC Only
748-12,NYC Only
332-05,NYC Only
846-05,NYC Only
759-19,NYC Only
141-10,NYC Only
246-07,NYC Only
417-16,NYC Only
851-12,NYC Only
323-09,NYC Only
541-15,NYC Only
745-28,NYC Only
630-23,NYC Only
895-10,NYC Only
971-12,NYC Only
407-17,NYC Only
683-02,NYC Only
279-19,NYC Only
474-19,NYC Only
125-07,NYC Only
126-23,NYC Only
462-19,NYC Only
704-08,NYC Only
400-27,NYC Only
371-10,NYC Only
399-02,NYC Only
317-26,NYC Only
216-25,NYC Only
474-17,NYC Only
885-24,NYC Only
1066-28,NYC Only
449-03,NYC Only
371-19,NYC Only
260-23,NYC Only
616-09,NYC Only
736-07,NYC Only
1070-03,NYC Only
67-03,NYC Only
952-03,NYC Only
28-22,NYC Only
388-18,NYC Only
300-28,NYC Only
47-01,NYC Only
629-27,NYC Only
883-22,NYC Only
58-04,NYC Only
604-10,NYC Only
491-30,NYC Only
590-25,NYC Only
53-08,NYC Only
129-06,NYC Only
667-26,NYC Only
433-14,NYC Only
158-14,NYC Only
412-10,NYC Only
226-14,NYC Only
651-14,NYC Only
59-19,NYC Only
473-15,NYC Only
624-13,NYC Only
890-05,NYC Only
428-06,NYC Only
859-11,NYC Only
1025-18,NYC Only
308-17,NYC Only
713-15,NYC Only
745-15,NYC Only
702-07,NYC Only
639-24,NYC Only
174-22,NYC Only
180-28,NYC Only
1045-15,NYC Only
34-02,NYC Only
566-25,NYC Only
648-08,NYC Only
185-14,NYC Only
231-13,NYC Only
519-23,NYC Only
664-10,NYC Only
961-25,NYC Only
966-01,NYC Only
69-05,NYC Only
1074-22,NYC Only
536-08,NYC Only
651-22,NYC Only
1060-22,NYC Only
447-15,NYC Only
245-07,NYC Only
452-23,NYC Only
145-09,NYC Only
763-12,NYC Only
648-15,NYC Only
441-12,NYC Only
145-05,NYC Only
619-14,NYC Only
218-05,NYC Only
933-05,NYC Only
178-09,NYC Only
689-30,NYC Only
167-07,NYC Only
428-07,NYC Only
855-08,NYC Only
150-07,NYC Only
518-25,NYC Only
170-12,NYC Only
374-19,NYC Only
659-01,NYC Only
254-02,NYC Only
654-28,NYC Only
848-30,NYC Only
916-27,NYC Only
24-14,NYC Only
16-18,NYC Only
699-01,NYC Only
774-02,NYC Only
578-05,NYC Only
831-13,NYC Only
480-01,NYC Only
536-04,NYC Only
751-01,NYC Only
844-05,NYC Only
375-08,NYC Only
745-26,NYC Only
227-05,NYC Only
1071-05,NYC Only
115-19,NYC Only
981-18,NYC Only
406-26,NYC Only
999-15,NYC Only
613-30,NYC Only
362-19,NYC Only
993-10,NYC Only
170-11,NYC Only
721-10,NYC Only
124-15,NYC Only
93-30,NYC Only
121-08,NYC Only
59-03,NYC Only
398-08,NYC Only
453-11,NYC Only
648-22,NYC Only
307-08,NYC Only
225-09,NYC Only
902-21,NYC Only
842-21,NYC Only
927-11,NYC Only
407-30,NYC Only
332-23,NYC Only
1048-13,NYC Only
679-25,NYC Only
585-30,NYC Only
819-31,NYC Only
1016-15,NYC Only
768-26,NYC Only
337-23,NYC Only
428-17,NYC Only
852-18,NYC Only
69-25,NYC Only
548-06,NYC Only
660-19,NYC Only
993-15,NYC Only
225-16,NYC Only
1078-05,NYC Only
405-06,NYC Only
980-22,NYC Only
816-23,NYC Only
701-06,NYC Only
840-16,NYC Only
230-24,NYC Only
367-31,NYC Only
644-05,NYC Only
195-29,NYC Only
692-16,NYC Only
721-05,NYC Only
999-22,NYC Only
266-05,NYC Only
526-10,NYC Only
883-13,NYC Only
662-19,NYC Only
720-11,NYC Only
293-26,NYC Only
705-27,NYC Only
581-21,NYC Only
286-30,NYC Only
702-21,NYC Only
1080-11,NYC Only
870-19,NYC Only
208-06,NYC Only
287-01,NYC Only
993-11,NYC Only
1030-28,NYC Only
642-31,NYC Only
749-07,NYC Only
82-13,NYC Only
304-08,NYC Only
832-18,NYC Only
913-31,NYC Only
1048-05,NYC Only
702-23,NYC Only
226-04,NYC Only
608-03,NYC Only
662-25,NYC Only
1012-17,NYC Only
745-24,NYC Only
246-04,NYC Only
1060-15,NYC Only
315-04,NYC Only
121-30,NYC Only
983-01,NYC Only
1058-15,NYC Only
356-18,NYC Only
39-05,NYC Only
492-10,NYC Only
28-07,NYC Only
153-27,NYC Only
516-01,NYC Only
472-07,NYC Only
1044-14,NYC Only
703-28,NYC Only
307-03,NYC Only
431-11,NYC Only
79-26,NYC Only
877-13,NYC Only
1052-14,NYC Only
424-31,NYC Only
549-08,NYC Only
570-12,NYC Only
442-01,NYC Only
902-24,NYC Only
419-29,NYC Only
133-31,NYC Only
662-06,NYC Only
792-31,NYC Only
368-12,NYC Only
1005-01,NYC Only
661-09,NYC Only
19-23,NYC Only
296-31,NYC Only
805-18,NYC Only
669-08,NYC Only
982-25,NYC Only
492-23,NYC Only
1038-04,NYC Only
72-05,NYC Only
80-09,NYC Only
237-05,NYC Only
710-08,NYC Only
471-30,NYC Only
738-03,NYC Only
30-15,NYC Only
170-16,NYC Only
809-26,NYC Only
34-15,NYC Only
1071-12,NYC Only
787-17,NYC Only
531-31,NYC Only
78-11,NYC Only
390-05,NYC Only
475-03,NYC Only
686-10,NYC Only
907-27,NYC Only
199-29,NYC Only
947-05,NYC Only
500-31,NYC Only
305-03,NYC Only
923-29,NYC Only
398-09,NYC Only
96-21,NYC Only
830-10,NYC Only
377-18,NYC Only
364-29,NYC Only
220-31,NYC Only
233-28,NYC Only
220-04,NYC Only
353-07,NYC Only
882-04,NYC Only
374-13,NYC Only
797-01,NYC Only
198-19,NYC Only
681-23,NYC Only
727-10,NYC Only
715-05,NYC Only
372-23,NYC Only
1054-21,NYC Only
958-10,NYC Only
327-24,NYC Only
333-17,NYC Only
50-10,NYC Only
665-22,NYC Only
971-30,NYC Only
678-15,NYC Only
531-09,NYC Only
140-25,NYC Only
604-25,NYC Only
939-12,NYC Only
933-19,NYC Only
826-23,NYC Only
283-01,NYC Only
280-07,NYC Only
324-08,NYC Only
313-18,NYC Only
217-11,NYC Only
489-05,NYC Only
186-11,NYC Only
1051-23,NYC Only
508-01,NYC Only
544-06,NYC Only
315-12,NYC Only
53-13,NYC Only
842-24,NYC Only
392-04,NYC Only
1006-12,NYC Only
705-16,NYC Only
91-29,NYC Only
92-31,NYC Only
926-06,NYC Only
131-17,NYC Only
262-18,NYC Only
1042-15,NYC Only
405-08,NYC Only
696-08,NYC Only
461-12,NYC Only
1074-17,NYC Only
654-13,NYC Only
178-10,NYC Only
126-09,NYC Only
742-09,NYC Only
1060-17,NYC Only
367-11,NYC Only
480-09,NYC Only
604-28,NYC Only
293-25,NYC Only
121-15,NYC Only
816-02,NYC Only
199-19,NYC Only
718-06,NYC Only
39-14,NYC Only
382-11,NYC Only
836-14,NYC Only
80-19,NYC Only
614-24,NYC Only
533-06,NYC Only
1063-21,NYC Only
744-03,NYC Only
406-27,NYC Only
1066-21,NYC Only
678-17,NYC Only
292-07,NYC Only
722-27,NYC Only
718-01,NYC Only
1016-24,NYC Only
889-04,NYC Only
49-10,NYC Only
637-17,NYC Only
301-01,NYC Only
1042-18,NYC Only
396-04,NYC Only
889-15,NYC Only
145-11,NYC Only
10-29,NYC Only
471-03,NYC Only
787-02,NYC Only
212-08,NYC Only
279-03,NYC Only
32-15,NYC Only
991-11,NYC Only
107-23,NYC Only
331-11,NYC Only
933-29,NYC Only
803-22,NYC Only
357-15,NYC Only
445-21,NYC Only
663-04,NYC Only
191-03,NYC Only
390-12,NYC Only
455-22,NYC Only
649-22,NYC Only
233-10,NYC Only
950-06,NYC Only
880-06,NYC Only
1031-27,NYC Only
35-11,NYC Only
19-21,NYC Only
922-06,NYC Only
198-18,NYC Only
405-16,NYC Only
1027-18,NYC Only
663-08,NYC Only
1068-10,NYC Only
83-02,NYC Only
1020-23,NYC Only
280-03,NYC Only
153-28,NYC Only
225-18,NYC Only
262-26,NYC Only
386-27,NYC Only
169-26,NYC Only
483-28,NYC Only
493-19,NYC Only
823-26,NYC Only
194-08,NYC Only
573-15,NYC Only
871-03,NYC Only
1083-03,NYC Only
31-05,NYC Only
1078-19,NYC Only
446-14,NYC Only
1015-08,NYC Only
99-22,NYC Only
705-08,NYC Only
692-01,NYC Only
599-21,NYC Only
19-05,NYC Only
750-10,NYC Only
689-13,NYC Only
798-14,NYC Only
419-21,NYC Only
606-10,NYC Only
516-21,NYC Only
610-30,NYC Only
424-27,NYC Only
612-06,NYC Only
773-17,NYC Only
887-29,NYC Only
859-15,NYC Only
744-21,NYC Only
438-07,NYC Only
859-08,NYC Only
905-17,NYC Only
603-17,NYC Only
428-31,NYC Only
652-31,NYC Only
532-25,NYC Only
243-10,NYC Only
1082-22,NYC Only
755-26,NYC Only
616-29,NYC Only
714-21,NYC Only
651-28,NYC Only
398-21,NYC Only
531-15,NYC Only
1021-01,NYC Only
377-03,NYC Only
398-16,NYC Only
842-10,NYC Only
276-03,NYC Only
73-18,NYC Only
81-23,NYC Only
889-22,NYC Only
43-09,NYC Only
1082-29,NYC Only
410-06,NYC Only
433-21,NYC Only
201-07,NYC Only
394-04,NYC Only
511-25,NYC Only
706-05,NYC Only
730-03,NYC Only
758-23,NYC Only
626-01,NYC Only
202-13,NYC Only
562-08,NYC Only
448-05,NYC Only
397-18,NYC Only
935-24,NYC Only
903-21,NYC Only
1074-21,NYC Only
891-31,NYC Only
392-10,NYC Only
529-19,NYC Only
649-01,NYC Only
1060-01,NYC Only
190-18,NYC Only
706-12,NYC Only
98-18,NYC Only
885-22,NYC Only
661-14,NYC Only
280-10,NYC Only
581-17,NYC Only
825-16,NYC Only
345-12,NYC Only
473-16,NYC Only
689-19,NYC Only
863-23,NYC Only
991-16,NYC Only
526-25,NYC Only
403-21,NYC Only
128-08,NYC Only
798-10,NYC Only
210-31,NYC Only
870-16,NYC Only
16-08,NYC Only
961-31,NYC Only
362-29,NYC Only
978-28,NYC Only
216-12,NYC Only
87-14,NYC Only
710-01,NYC Only
61-31,NYC Only
73-01,NYC Only
153-11,NYC Only
194-19,NYC Only
936-31,NYC Only
182-16,NYC Only
509-02,NYC Only
787-18,NYC Only
144-19,NYC Only
507-04,NYC Only
827-05,NYC Only
568-07,NYC Only
210-08,NYC Only
51-13,NYC Only
763-14,NYC Only
344-15,NYC Only
260-18,NYC Only
222-13,NYC Only
636-21,NYC Only
889-23,NYC Only
854-26,NYC Only
661-07,NYC Only
703-05,NYC Only
82-19,NYC Only
796-16,NYC Only
74-07,NYC Only
308-14,NYC Only
484-03,NYC Only
226-18,NYC Only
1009-29,NYC Only
111-26,NYC Only
303-07,NYC Only
715-21,NYC Only
12-26,NYC Only
815-16,NYC Only
162-07,NYC Only
996-21,NYC Only
125-15,NYC Only
74-01,NYC Only
185-02,NYC Only
613-03,NYC Only
1042-12,NYC Only
160-15,NYC Only
742-24,NYC Only
1024-23,NYC Only
625-12,NYC Only
527-02,NYC Only
1006-17,NYC Only
642-17,NYC Only
786-21,NYC Only
80-06,NYC Only
260-09,NYC Only
878-19,NYC Only
140-04,NYC Only
623-01,NYC Only
591-21,NYC Only
33-16,NYC Only
255-25,NYC Only
228-10,NYC Only
54-16,NYC Only
367-12,NYC Only
742-07,NYC Only
722-28,NYC Only
206-19,NYC Only
999-14,NYC Only
946-25,NYC Only
124-23,NYC Only
863-17,NYC Only
512-10,NYC Only
480-08,NYC Only
295-01,NYC Only
332-21,NYC Only
483-11,NYC Only
880-22,NYC Only
573-29,NYC Only
115-01,NYC Only
150-08,NYC Only
650-04,NYC Only
858-30,NYC Only
124-07,NYC Only
382-19,NYC Only
631-25,NYC Only
977-06,NYC Only
26-01,NYC Only
418-05,NYC Only
782-06,NYC Only
180-09,NYC Only
908-08,NYC Only
377-01,NYC Only
1006-18,NYC Only
124-25,NYC Only
169-13,NYC Only
872-26,NYC Only
81-17,NYC Only
613-11,NYC Only
376-21,NYC Only
898-28,NYC Only
312-21,NYC Only
438-15,NYC Only
348-14,NYC Only
1048-29,NYC Only
769-19,NYC Only
778-05,NYC Only
1068-09,NYC Only
903-03,NYC Only
722-29,NYC Only
362-21,NYC Only
343-07,NYC Only
599-06,NYC Only
280-29,NYC Only
405-03,NYC Only
1019-10,NYC Only
527-12,NYC Only
97-07,NYC Only
728-03,NYC Only
706-17,NYC Only
577-08,NYC Only
755-03,NYC Only
1011-23,NYC Only
654-23,NYC Only
661-10,NYC Only
934-23,NYC Only
413-10,NYC Only
946-09,NYC Only
706-08,NYC Only
863-31,NYC Only
398-13,NYC Only
696-03,NYC Only
178-06,NYC Only
923-06,NYC Only
474-24,NYC Only
40-26,NYC Only
169-04,NYC Only
175-01,NYC Only
841-27,NYC Only
638-07,NYC Only
38-19,NYC Only
193-15,NYC Only
581-15,NYC Only
213-03,NYC Only
857-18,NYC Only
483-05,NYC Only
246-26,NYC Only
658-27,NYC Only
840-05,NYC Only
702-14,NYC Only
356-05,NYC Only
45-10,NYC Only
649-08,NYC Only
535-18,NYC Only
970-02,NYC Only
431-03,NYC Only
42-21,NYC Only
419-11,NYC Only
421-05,NYC Only
713-10,NYC Only
564-08,NYC Only
706-11,NYC Only
201-28,NYC Only
1078-07,NYC Only
1082-13,NYC Only
659-28,NYC Only
447-07,NYC Only
388-15,NYC Only
803-11,NYC Only
49-22,NYC Only
749-13,NYC Only
297-31,NYC Only
526-30,NYC Only
387-23,NYC Only
590-26,NYC Only
413-01,NYC Only
1017-06,NYC Only
344-06,NYC Only
243-03,NYC Only
481-09,NYC Only
625-01,NYC Only
586-29,NYC Only
107-13,NYC Only
43-05,NYC Only
497-15,NYC Only
290-12,NYC Only
626-23,NYC Only
80-02,NYC Only
1061-14,NYC Only
573-28,NYC Only
1016-31,NYC Only
1-27,NYC Only
601-18,NYC Only
60-01,NYC Only
1083-15,NYC Only
308-23,NYC Only
1029-26,NYC Only
339-01,NYC Only
830-12,NYC Only
191-28,NYC Only
356-06,NYC Only
365-23,NYC Only
606-11,NYC Only
1071-13,NYC Only
799-06,NYC Only
975-04,NYC Only
979-08,NYC Only
916-09,NYC Only
217-14,NYC Only
631-22,NYC Only
1009-25,NYC Only
1028-12,NYC Only
104-12,NYC Only
442-03,NYC Only
713-18,NYC Only
907-19,NYC Only
566-14,NYC Only
329-04,NYC Only
403-16,NYC Only
504-05,NYC Only
984-05,NYC Only
526-01,NYC Only
45-11,NYC Only
323-22,NYC Only
705-19,NYC Only
964-29,NYC Only
397-07,NYC Only
127-03,NYC Only
548-18,NYC Only
1047-03,NYC Only
637-06,NYC Only
14-17,NYC Only
548-10,NYC Only
847-03,NYC Only
330-26,NYC Only
832-08,NYC Only
148-21,NYC Only
705-31,NYC Only
871-16,NYC Only
780-24,NYC Only
916-30,NYC Only
827-30,NYC Only
138-16,NYC Only
310-06,NYC Only
742-03,NYC Only
400-12,NYC Only
224-22,NYC Only
23-25,NYC Only
957-16,NYC Only
760-09,NYC Only
847-25,NYC Only
204-06,NYC Only
633-08,NYC Only
685-27,NYC Only
813-12,NYC Only
20-28,NYC Only
311-10,NYC Only
315-17,NYC Only
291-08,NYC Only
386-17,NYC Only
37-25,NYC Only
1014-28,NYC Only
649-27,NYC Only
253-10,NYC Only
1024-26,NYC Only
410-27,NYC Only
346-21,NYC Only
480-31,NYC Only
425-31,NYC Only
376-25,NYC Only
279-31,NYC Only
84-05,NYC Only
1053-07,NYC Only
1025-07,NYC Only
210-10,NYC Only
519-08,NYC Only
703-26,NYC Only
909-22,NYC Only
811-25,NYC Only
742-29,NYC Only
575-31,NYC Only
347-07,NYC Only
255-10,NYC Only
199-16,NYC Only
859-07,NYC Only
826-26,NYC Only
242-19,NYC Only
652-10,NYC Only
927-27,NYC Only
330-21,NYC Only
758-25,NYC Only
951-12,NYC Only
246-11,NYC Only
879-17,NYC Only
524-06,NYC Only
1019-07,NYC Only
291-05,NYC Only
33-03,NYC Only
657-16,NYC Only
180-14,NYC Only
2-31,NYC Only
468-21,NYC Only
158-03,NYC Only
407-14,NYC Only
215-19,NYC Only
952-09,NYC Only
139-29,NYC Only
371-23,NYC Only
934-15,NYC Only
834-06,NYC Only
846-22,NYC Only
188-06,NYC Only
585-09,NYC Only
937-10,NYC Only
578-02,NYC Only
714-07,NYC Only
966-08,NYC Only
954-16,NYC Only
566-24,NYC Only
79-21,NYC Only
47-17,NYC Only
825-26,NYC Only
888-31,NYC Only
1025-16,NYC Only
169-11,NYC Only
609-03,NYC Only
1050-18,NYC Only
532-16,NYC Only
